,trip_id,time,rel_dist,route_id,direction_id,shape_id,geometry
4101,B20171105WKD_052250_F..N68R,10:00:00,0.8970611265744883,F,0.0,F..N68R,POINT (-73.82246046095399 40.71084214617573)
4103,B20171105WKD_052250_J..S12R,09:00:00,0.3578983488124714,J,1.0,J..S12R,POINT (-73.87566207732222 40.68266030358358)
4104,B20171105WKD_052300_C..S04R,09:00:00,0.24185594611490602,C,1.0,C..S04R,POINT (-73.97564680344054 40.77663836482557)
4105,B20171105WKD_052300_E..S71R,09:00:00,0.36671450716600335,E,1.0,E..S71R,POINT (-73.88346110543718 40.74319895440111)
4109,B20171105WKD_052350_F..S69R,09:00:00,0.198977107256765,F,1.0,F..S69R,POINT (-73.86466928158929 40.73097006816812)
4110,B20171105WKD_052350_F..S69R,10:00:00,0.8486709794332857,F,1.0,F..S69R,POINT (-73.97827750624158 40.63667126319766)
4111,B20171105WKD_052400_L..N01R,09:00:00,0.3901320099487163,L,0.0,L..N01R,POINT (-73.91401991968965 40.70115943288619)
4112,B20171105WKD_052400_L..S05R,09:00:00,0.8035787361327656,L,1.0,L..S05R,POINT (-73.93029094235038 40.70661520298372)
4113,B20171105WKD_052450_C..N04R,09:00:00,0.2172282058411656,C,0.0,C..N04R,POINT (-73.93556206282378 40.67962977312596)
4115,B20171105WKD_052500_E..N66R,09:00:00,0.231064231628509,E,0.0,E..N66R,POINT (-73.98385671834092 40.76377699232508)
4116,B20171105WKD_052500_J..N12R,09:00:00,0.23125845625476854,J,0.0,J..N12R,POINT (-73.96412951165374 40.71114425740396)
4117,B20171105WKD_052550_B..N46R,09:00:00,0.3047122471972922,B,0.0,B..N46R,POINT (-73.96243167495432 40.66275129329948)
4118,B20171105WKD_052550_D..N07R,09:00:00,0.1418154485059508,D,0.0,D..N07R,POINT (-73.99757065523585 40.62411012341882)
4119,B20171105WKD_052550_D..N07R,10:00:00,0.8496549267993198,D,0.0,D..N07R,POINT (-73.91791703269416 40.8343052798642)
4120,B20171105WKD_052550_D..S14R,09:00:00,0.17896679906035054,D,1.0,D..S14R,POINT (-73.92574720718763 40.82793364183448)
4121,B20171105WKD_052550_D..S14R,10:00:00,0.8844385337945605,D,1.0,D..S14R,POINT (-74.00051311376745 40.61383882553475)
4123,B20171105WKD_052550_R..N93R,09:00:00,0.1582298134567295,R,0.0,R..N93R,POINT (-73.99719447704311 40.66125882327547)
4124,B20171105WKD_052550_R..N93R,10:00:00,0.7883076772556751,R,0.0,R..N93R,POINT (-73.91160254696744 40.75549871068252)
4128,B20171105WKD_052700_L..S01R,09:00:00,0.38747588414240286,L,1.0,L..S01R,POINT (-73.94314042015921 40.71464886540402)
